id,title,content,frontmatter,status,created_at,updated_at
11,Special Census Supervisor,"The Special Census Supervisor (SCS) works under the supervision of the RO Coordinator and manages all activities of the Special Census Office. The Special Census Supervisor performs the duties of the Field Manager (FM) when the Special Census does not hire a FM. The Special Census Office Supervisor:
- Reviews and certifies FR and FS payrolls in GovTA
- Assists with recruiting, at the discretion of the RO, if the governmental unit has not recruited enough applicants to work on the Special Census.
- Oversees clerical operations in the office, including the review of questionnaires and address registers as well as all Quality Control (QC) operations.
- Communicates with the Special Census Manager.
- Promptly responds to messages.
- Directs duties of SCO staff.
- Make final decision on reinterview questionnaire when there is a discrepancy with the original questionnaire.
- Monitors daily progress and performance reports.
- Meets with governmental units to discuss special census operations, office space, timing, publicity, and the status of local-recruiting efforts, when directed by the RO.
- Oversees the use of MOJO to track the flow of work to and from the field. MOJO activities include the check-out/check-in of address registers, the check-in of questionnaires and address registers and the keying of selected data.
- Takes corrective actions, as appropriate, to keep the operation on schedule.
- Transmits completed materials on a timely basis.
- Completes all special census final reports and transmitting them to the RO, HQ, and to governmental units, as appropriate.
- Manages the Special Census Field Managers (FMs).
- Is available for discussions with the FM.
- Performs the duties listed below under FM when the SCO does not hire a FM.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
12,Special Census Office Clerks,"Special Census clerks perform a variety of tasks in the Special Census Office. The office clerks:
- Prepare address registers (AR) for assignment.
- Checkout work to the Field Supervisors.
- Reassign work to Field Representatives after the FS makes assignments or reassignments.
- Check in completed assignments as work is returned to the SCO.
- Review completed work as it is returned to the SCO.
- Document errors on completed work that is returned to the SCO and return to the FS.
- Prepare Form SC-RQ, Special Census Reinterview Questionnaire, as production questionnaires are selected for Reinterview.
- Conduct telephone Reinterview, as assigned.
- Run daily reports and provide to the SCS and the FM.
- Assist with SCO closeout activities.
- Audit, enter time and validate timesheets for FRs and FSs.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
13,Special Census Field Manager (FM),"FMs directly manage Field Supervisors (FS). Each FM oversees approximately 6-8 FSs. FMs train FSs and monitor work assignments and work progress for each FS team. FMs also certify submitted FS payroll records and advise and assist FSs on personnel and performance issues. The FM is the main point of contact for all field activities. The Field Manager:
- Promptly responds to messages.
- Meets with FSs daily to discuss progress of the team's work, discuss performance, or conduct issues, provide guidance on difficult of unusual situations.
- Is available for phone calls from the Field Supervisor.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
14,Special Census Field Supervisor (FS),"FSs directly supervise Field Representatives (FRs). Each FS oversees a team of approximately 6-8 FRs. FSs train FRs, provide assignments, and monitor FR progress and performance as they conduct their work. FSs discuss FR conduct and performance issues with the FM. FSs also provides feedback on job performance and answer work-related questions.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
15,Special Census Field Representative (FR),"FRs are responsible for working the Special Census assignments. This work includes traveling to the assigned area, verifying or updating the provided address list, and conducting interviews with respondents to collect data as required for the Special Census.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
16,Employee Responsibilities,"## Become Familiar with Special Census Materials and Procedures
The SC-1202, Special Census Field Representative (FR) Manual contains specific FR instructions for conducting the Special Census field operation. The SC-1130, Special Census Field Supervisor (FS) Manual contains the specific instructions for supervising FRs in the field and the procedures for the quality assurance activities. The Special Census Supervisor (SCS) must be familiar with these documents to understand the Special Census operation. This manual, the SC-50, Special Census Office Manual, contains specific instructions for office staff.
Depending on the Special Census Office (SCO), Group Quarters (GQ) or Transitory Locations (TL) operations may be implemented in your Special Census area. The SC-569.12, Group Quarters Field Representative Manual and SC-569.30, Transitory Locations Field Representative Manual contain the specific instructions and procedures to conduct these operations in the field. The Special Census Supervisor may need to also be familiar with these documents to understand these operations and its implementation in the field.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
17,Title 13,"Protection under Title 13 of the U.S. Code guarantees confidentiality of census information and establishes penalties for disclosing this information.
This means that only people sworn to protect Title 13 data may see information the Census Bureau collects. Protected information cannot be shared with anyone who is not sworn to maintain the confidentiality of Title 13 protected data -- including the Federal Bureau of Investigation, Internal Revenue Service, or a court of law.
Unauthorized disclosure of confidential information by a sworn Census Bureau employee is punishable by a fine of up to \$250,000, imprisonment of up to 5 years, or both. You must never reveal census information to anyone who is not a sworn Census Bureau employee.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
18,Data Stewardship,"The Census Bureau workforce is bound to protect confidential information by an ironclad commitment backed by Federal law. Data Stewardship means providing quality data for public good while protecting individual privacy and confidentiality. This is the Census Bureau's core responsibility. We may not release personally identifiable information.
Data Stewardship assures the Census Bureau can effectively collect high quality data to be used by its customers while meeting the legal and reporting obligations of Title 13, the Privacy Act, and other applicable statutes. Keeping the public's trust is critical to our ability to carry out our mission as the leading source of quality data about the nation's people and economy.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
19,Ways to Maintain Confidentiality as a Data Steward,"Here are ways you can maintain the confidentiality of all census information:
- When not working, always lock your vehicle whenever Special Census materials are in it. Store Special Census materials out of view.
- Do not show the address lists, maps, or completed questionnaires to anyone.
- Be sure no one else can hear you if discussing Title 13 protected data with your manager in public places.
- Do not share personally identifiable information (PII) with another sworn Census Bureau employee who does not have a need to know.
- Always ask your manager if you are not sure whether something is considered personally identifiable information (PII).
Remember that when you took the confidentiality oath, you were sworn for life.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
20,The Privacy Act of 1974,"The Privacy Act of 1974 requires that each Federal agency advise people of their rights when collecting information from them. Specifically, a person must know under what law the information is being collected, how the information will be used and whether they must answer.
The SC-CN(E/S), Confidentiality Notice, contains the information required by the Privacy Act of 1974. Special Census staff must give a Confidentiality Notice to each person from whom they request census-related information. Never leave this notice at an address where no one is home or that is vacant. It must always be handed to a person.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
21,Data Falsification,"There may be times when work is not progressing well. Even though you want to do a good job and keep on schedule, you may encounter problems. However, no matter what the circumstances, work must never be falsified. All data collected must be obtained from an occupant, knowledgeable person, or through observation. Never search for information from public records or on the Internet.
Your manager and other office personnel are trained to recognize bogus materials. A percentage of all work is verified for accuracy. The chances of catching falsified data are very high. If it is discovered that someone submitted falsified data, they will be dismissed immediately.
**Anyone willfully falsify information collected under Title 13, United States Code, Section 213, can be found guilty of perjury (fabrication) and may be fined up to \$250,000 and/or imprisoned up to five years. If it is determined that the falsification was intentional, they will be removed from federal service.**",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
22,Media Contacts While You Are Working,"As you go about your work, reporters from local newspapers, radio, or TV stations may approach you seeking an interview. They may even want to accompany you while you work. If this happens:
- Stop work immediately. Walk away from the location where you are working to make sure the address is not identified.
- Do not:
- Allow the reporter(s) to see any of your work materials.
- Let the reporter(s) overhear or observe any meetings or interviews you are conducting.
- Divulge any information that could lead the reporter(s) to identify a person, such as an address or phone number. Title 13 guarantees respondents that all information the Census Bureau collects will be kept confidential.
- Call your manager.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
23,Restrictions on the Political Activities of Federal Employees,"While you are working for the Census Bureau, you are covered by the Hatch Act, which restricts certain political activities of Federal employees. The following are examples of activities allowed and prohibited under the Hatch Act.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
24,Activities Allowed by the Hatch Act,"Census Bureau employees may participate in the following activities during non-duty hours:
- Register and vote as they choose
- Contribute money to political organizations
- Attend political fund-raising functions
- Attend and be active at political rallies and meetings",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
25,Activities Prohibited by the Hatch Act,"Census Bureau employees are prohibited from:
- Engaging in political activity while on duty
- Engaging in political activity in a government office
- Engaging in political activity while wearing an official ID badge
- Engaging in political activity while using a government vehicle
- Wearing political buttons or other political items while on duty
- Soliciting or receiving political contributions",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
26,Partisan Political Signs or Stickers,"Census Bureau employees may display a partisan political sign or sticker (such as a bumper sticker) on a privately-owned (or borrowed) vehicle if the vehicle is not used for official government work. The employee must remove or cover up any such sign or sticker on the vehicle during the period in which the vehicle is used for official government work (for example, while the employee is on duty). Employees may display a partisan political sign or sticker from a past partisan political campaign after the election, so long as the person is not currently running in a partisan political campaign.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
27,How Does the Hatch Act Affect You?,"Please remember that it is your responsibility to raise any questions or concerns about permissible political activities to your manager. Federal employees should be aware that certain political activities might also constitute criminal offenses under Title 18 of the U.S. Code.
For more information on the Hatch Act, please refer to the SC-590, Census Employee Handbook for Field Representatives.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
28,"Lost, Missing, or Stolen Materials","As a census employee, you are responsible for protecting all materials assigned to you, including your Census Bureau-issued ID badge. You must take special care to protect Address Registers, labeled questionnaires, completed questionnaires, and other materials containing Title 13 data that are in your possession. These materials must be always accounted for.
You are responsible for:
- Using census-owned property for the sole purpose of conducting official government-related work
- Properly caring for, handling, and protecting the Address Registers, questionnaires, your Census Bureau-issued ID badge, and other materials containing Title 13 data in your possession
- Properly reporting materials that are lost, missing, or stolen [within one hour]{.underline} of the discovery
- Immediately returning all census-owned materials to your manager before transfer, reassignment, or separation from the Census Bureau
Employees may be held financially liable for equipment that is lost, missing, stolen, or damaged due to negligence. The criminal code of the United States also provides penalties for theft, embezzlement, conversion of, or willful damage to government property. Title 18, U.S. Code 641, provides penalties of up to \$250,000 and/or 10 years of imprisonment. The Census Bureau is committed to using any lawful and reasonable means necessary to recover property owned by the Federal government and to ensuring the security of all Title 13 data in an employee's possession.
**If You Experiences Lost, Missing, or Stolen Materials Containing Title 13 Data**
If the materials are found or recovered, you must notify the Census Service Center at 1-877-343-2010, Option #1, to update them on the status.
If you experience lost, missing, or stolen materials, including your Census Bureau-issued ID badge, you must do all the following:
- If the materials were stolen, call the police, making sure to obtain a police report number.
- Call the Census Service Center (CSC) at 1-877-343-2010 and select Option #1 for Cyber Security, Physical Security, and PII Breach Incident Reporting, to report the incident.
- This must be done within one (1) hour of the discovery of the lost, missing, or stolen materials.
- Provide the police report number (if the materials were stolen).
- Obtain a case number from the Census Service Center operator.
- Notify your manager, inform them of the incident, and provide the police report number (if the materials were stolen).
This page intentionally left blank.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
29,Arranging for a Special Census,"This chapter provides a general overview of Special Census (SC) preparatory activities. The responsibilities of the governmental unit (GU), Census Bureau Headquarters (HQ) and Regional Office (RO) staff, including the designated Special Census Supervisor (SCS), are discussed below.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
30,Overview of Responsibilities,"## Introduction
There is a substantial amount of preparatory work completed by HQ and RO staff before Special Census field work starts. The Special Census Supervisor should be familiar with these activities.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
31,Special Census Request Overview,"The governmental unit seeking a Special Census submits completed a Form SC-900, Special Census Cost Estimate (CE) Request, to HQ. This form is available on the Census Bureau's Special Census website at: <http://www.census.gov/programs-surveys/specialcensus.html>
Direct link to the form: <https://www2.census.gov/programs-surveys/special-census/sc-900.pdf>
The governmental unit completes the Form SC-900, Special Census Cost Estimate Request, and provides specific information about the area being considered for the Special Census. The governmental unit must also send a letter from the highest elected official for the cost estimate preparation.
Information from the completed Form SC-900, Special Census Cost Estimate Request, along with suggested pay rates, housing unit (HU) and population count estimates, and other pertinent information are forwarded to the RO by HQ staff. The RO:
- Assesses the information.
- Determines the regional office resources needed to conduct the Special Census for the governmental unit.
- Provides any additional information that would be helpful to the HQ staff in the cost estimate preparation.
HQ staff use the information submitted by the governmental unit and the input from the RO to prepare a cost estimate. HQ staff sends the governmental unit a cover letter, the Special Census (SC) cost estimate, and two copies of a Memorandum of Agreement (MOA) outlining the Special Census requirements.
If the cost estimate is acceptable to the governmental unit, the appropriate government local official signs and sends the Memorandum of Agreement back to HQ. Once the governmental unit transfers the necessary funds to the Census Bureau as outlined in the Memorandum of Agreement, the activities to conduct the Special Census for the governmental unit begin.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
32,Governmental Unit Responsibilities,"GU are responsible for:
- Requesting a Special Census Cost Estimate in writing.
- Signing the MOA and transferring the necessary funds to the Census Bureau (if the terms and cost are acceptable).
- Reviewing and updating census maps of their SC area, including the Boundary and Annexation Survey (BAS) Map and the Special Census Verification Map.
- Supplying office space and equipment for use by Census Bureau staff for the duration of the SC.
- Recruiting local applicants to work on the SC.
- Conducting outreach activities to educate residents and promote cooperation with the SC Field Representatives (FRs).",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
33,Headquarters Special Census Staff Responsibilities,"There are several divisions in the Census Bureau that work together planning and implementing a SC for a GU. HQ will:
- Coordinate the development of the cost estimate for the GU.
- Prepare a CE letter and sending it to the GU.
- Ensure that the initial payment from the GU is received.
- Prepare fund allocation memos and budget documentation for the distribution of funds to participating divisions for preparatory work, geographic support, processing, and field supervision once full payment is received from the GU.
- Prepare project descriptions and operating plans for each SC.
- Monitor the charges to the SC program.
- Prepare and send out a MOA for signature to the requesting local government. The MOA includes the terms that the GU and the Census Bureau agrees to for conducting the SC.
- Prepare the MOA and handle all communication with the governmental unit relative to the MOA, including:
- Reasons a GU may want to conduct a SC
- SC schedule and timing
- Data collection activities
- Special data requirements
- CE procedures
- Develop procedural and training materials.
- Coordinate, approve, and disseminate any changes to procedures.
- Provide technical and procedural support to the RO.
- Coordinate and oversee the work for the data processing and tabulation activities performed in HQ.
- Prepare and send the SC results letter to the GU, state officials, and the RO.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
34,Regional Office Responsibilities,"The RO is responsible for implementing and monitoring field data collection activities. The RO also ensures that quality and schedule expectations are met. The RO is involved in all aspects of the SC program, from fielding initial questions about the program before a GU embarks on a SC to answering questions about the final counts after a SC is completed. The staff from the RO are extremely important in maintaining a cooperative and productive relationship with the GU throughout the SC. The RO supports the GU from the initial request for a cost estimate until after field operations end.
Additional information about the support provided during each of the phases is provided below.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
35,Prior to Receiving a Signed MOA/Cost Estimate,"GU may contact the RO for information and guidance regarding a SC. RO staff should refer the GU to HQ to provide this information and guidance at any point *before* the MOA is signed.
If a GU requests a CE, the RO provides information to the HQ staff for completing the CE. This information includes the feasibility of conducting the SC during the requested time frame, the staffing requirements, and other regional cost factors.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
36,After a MOA Is Signed but Prior to Field Operations,"Once the MOA has been signed, the RO will:
- Explain the SC BAS Map.
- Explain the Special Census Verification Map.
- Prepare a letter to the GU from the Regional Director (RD)outlining the SC requirements and needs. See Appendix E for an example template of this letter.
The letter usually includes information on:
- Requirements for secure office space, equipment, telephone lines, and other requirements.
- SC publicity.
- Staffing requirements.
- Scheduling.
- Designating the Special Census Supervisor (SCS).",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
37,During Field Operations,"The RO support responsibilities during the field operation include:
- Ordering SC supplies from the National Processing Center (NPC).
- Providing technical and procedural support to the SCS.
- Responding to inquiries from HQ staff.
- Monitoring the progress of the SC and reporting ongoing status to SC HQ staff.
- Ensuring all quality assurance procedures are fully and correctly implemented.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
38,Post Field Operations,"After field operations are over, the RO responsibilities include:
- Ensuring all materials used in the SC are sent to the appropriate destinations. Some materials go to NPC, the RO or HQ. See *Chapter 18: Closing Out the Special Census* for more information about SC materials disposition.
- Closing the Special Census Office (SCO).",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
39,Working with Governmental Units,"## Introduction
It is important that the RO, as well as the Special Census Supervisor, know who the key contact people are in the GUs. The RO and the Special Census Supervisor need to establish and maintain communications with the GUs. The RO has the flexibility to determine the contact frequency and communication method with the GU prior, during, and after the SC.
The communication methods and frequency may vary from RO to RO or from Special Census to Special Census. This section provides some suggestions and guidance for effective interactions and communications with the GUs. The RO will provide the Special Census Supervisor guidance on how to communicate with the GUs.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
40,Initial Contact with Local Officials,"The RO is responsible for contacting the GU after the MOA has been signed and the required funds for the SC have been transmitted to the Census Bureau. Depending on the location of the SC, the contact may be made via telephone or personal visit. It is suggested that this initial contact should occur to notify the governmental that the Census Bureau received the signed MOA and to confirm the funds were received by the Census Bureau.
The RO should also inform the GU they will receive a letter with information about the requirements and responsibilities of the GU to conduct the SC, and other materials, such as the SC Program, Guidebook for Sponsors.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
41,Regional Director's Letter of Governmental Unit Responsibilities,"Shortly after a SC MOA has been signed and the required funds are transferred to the Census Bureau, HQ staff notifies the RO that it may start working with the GU.
The RO prepares an initial letter outlining the GUs responsibilities for conducting the SC in their jurisdiction within two weeks of receiving notice from HQ to start working with the GU.
Among the GUs responsibilities are:
- Provisioning of the office space and equipment, such as laptops and printers.
- Recruiting the required number of job applicants.
- Recommending outreach activities to promote resident cooperation and participation.
The letter specifically states:
- The amount of required office space square footage.
- The number of chairs and tables.
- The telephone and internet equipment requirements.
- The number of applicants that must be recruited.
- Other pertinent requirements for conducting a SC.
At least one copy of the SC Program, Guidebook for Sponsors, should be included with the initial Regional Director's letter*.* This allows the GU time to review the guidebook and formulate questions for the initial conversations and/or meetings.
The RDs letter is sent to the highest elected official of the GU. Information contained in this letter may be discussed with the GU at an appropriate or agreed upon time between the RO and the GU.
This discussion may occur when either of the map sets are delivered to the governmental unit for their review, or at the request of the GU. The RO has the discretion to determine at when this discussion should take place.
A letter template is shown in []{.mark}Appendix E.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
42,Suggested Agenda when Meeting with the Governmental Unit for the First Time,"The GU is likely to have questions after local officials review the SC Program, Guidebook for Sponsors. During the initial contact or visit to the GU, at a minimum, the RO should discuss the following topics with the GU:
- The Census Bureau's point of contact for the GU.
- The purpose for conducting a SC (recent annexations, new housing units, more occupied units, or other reasons).
- The proposed SC schedule, including the SC Date.
- The SC boundaries and the purpose of the Boundary and Annexation Survey Map.
- The purpose of the Verification Map.
- The GU responsibilities, including:
- Supplying office space and equipment, such as laptops and printers.
- Recruiting an adequate number of people for field positions.
- Planning for outreach to residents.
- Planning for publicity to help ensure cooperation.
- Provide and review the SC Program, Guidebook for Sponsors.
- SC operational workflow.
- Conducting quality assurance activities.
- Conducting the SC closeout activities.
Additional information about the discussion topics is provided below.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
43,Governmental Unit Point of Contact,"It is important to document the GUs designated point of contact to ensure effective lines of communication between the local officials and Census staff. Once the GU identifies the designated point of contact person (POC), this is the person through whom all communications regarding the SC should occur.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
44,Purpose for Conducting the Special Census,"The RO staff previously discussed with governmental unit their reasons for requesting a SC. The RO staff (or other designee, which may be the Special Census Supervisor) should also discuss the reasons for the projected increase/decrease of population. This discussion helps ensure that GUs expectations are reasonable. This discussion also provides an opportunity for Census Bureau staff to ask where areas of new housing are located or whether there are other areas within the community that may impact the enumeration process.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
45,Proposed Special Census Schedule including the Special Census Date,"The RO probes the GU to determine if there are any dates of significance that may impact the results of the SC (e.g., University semester breaks, or migrant populations). The RO must have a general idea of when the GU wants the SC conducted and use the information to accurately schedule the SC.
The Special Census Date is the reference date for all data collection. This includes housing unit status (occupied or vacant) and enumeration status. It is important that the GU be informed of the Special Census Date.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
46,Special Census Boundaries and the Boundary and Annexation Survey Map,"Depending on the RO's preferences, the first meeting after the MOA has been signed may also be used to deliver and discuss the SC Boundary and Annexation Survey (BAS) Map. The BAS is a Census Bureau program where GUs provide the Census Bureau with updates related to the jurisdiction boundaries and/or annexations. The SC BAS Map contains the most recent jurisdiction boundaries the Census Bureau has for the governmental unit and is used to collect information about the legally defined geographic area to be included in the SC.
A full special census is a basic enumeration of population, HUs, GQs, and at TLs for an area entirely within the jurisdiction of a GU requesting the special census. A partial special census is conducted using the same methodologies and procedures as a full special census, but it is for a subset of areas within the jurisdiction of the GU. The minimum statistical area for which any partial special census can be conducted is a 2020 Census tract.
An explanation of what is depicted on the BAS map, including what the various map symbols represent, should be provided. It is especially important to review the GUs boundaries at this meeting. An explanation of census tracts and boundaries is crucial, especially if the sponsor is conducting a partial Special Census.
In addition to updating the GU boundaries, including any annexations and/or detachments, the sponsor is also encouraged to add any street features and names missing from the BAS map during this review. This is especially important for areas of where there are newly built housing units and where the streets and their names may be missing from the census maps.
These updates made to the BAS maps are reflected on subsequent SC mapping products, including mapping products produced for data collection. Accurate field maps contribute to more efficient and accurate data collection.
The process for updating boundaries, the BAS forms, and the boundary certification process are included in the BAS how to guides. This guide is available online at: https://www.census.gov/programs-surveys/bas.html.
It is crucial that the GU reviews the maps carefully because the updates from this map are used to generate the governmental unit's Special Census Verification Map. Errors on the Special Census Verification map that require correction may delay the start of the SC.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
47,Special Census Verification Map,"The Special Census Verification Map is produced from the information submitted by the sponsor on the Special Census Boundary and Annexation Survey Map. The Verification Map shows the Special Census Area (SCA) that will be included in the SC. The Special Census Verification Map shows updates the GU made to the BAS map.
It is crucial that the GU very carefully reviews the boundaries and all other updates that were submitted through the BAS to ensure the map properly reflects the SCA and the updates. All SC data collection products, i.e., the maps and address lists, are generated from a database benchmark based on the Special Census Verification Map.
Any errors on the Verification Map, once it has been certified as correct and returned to the Census Bureau, may result in an extended delay of the SC if anything must be changed or corrected.
Note: The Special Census Verification map is not an opportunity for the governmental unit to include additional areas in the SC. If the GU wishes to revise the SC area, additional costs and an extended timeline may be introduced into the SC process. Notify the RO Special Census manager immediately if the sponsor indicates there are errors or changes required to the Verification Map.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
48,Governmental Unit Responsibilities Discussion,"During the initial contact with the GU, the RO (or designee) discusses the GUs responsibilities outlined in the Regional Director's letter. The GUs responsibilities include:
- Supplying office space.
- Supplying equipment, such as laptops and printers
- Recruiting.
- Planning for outreach.
- Planning for publicity.
Additional information about each of the governmental unit's responsibilities is provided below.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
